date,store,actual,naive,model
2023-09-15,store_3,-0.4280960692791854,-0.6472932046635069,-0.6543640555833028
2023-09-16,store_3,-0.2881830041402567,-0.8128569984112392,-0.6037993882707644
2023-09-17,store_3,-0.9014686063325608,-0.9481062947122036,-0.7051643442593833
2023-09-18,store_3,-0.8198526516681857,-1.0600367468233465,-0.89946859949162
2023-09-19,store_3,-0.7662193100315963,-0.8478352646959714,-0.7538502528393982
2023-09-20,store_3,-0.8781497621427392,-1.6290165450549896,-1.0462212720117854
2023-09-21,store_3,-0.9107961440084892,-0.6542888579204534,-0.8030160676034135
2023-09-22,store_3,-0.5750047876750605,-0.4280960692791854,-0.5171843993070675
2023-09-23,store_3,-0.3791264964805604,-0.2881830041402567,-0.4406089664191681
2023-09-24,store_3,-0.4840612953347569,-0.9014686063325608,-0.754681670192418
2023-09-25,store_3,-0.95510194796915,-0.8198526516681857,-0.994913865631533
2023-09-26,store_3,-0.7195816216519534,-0.7662193100315963,-0.8006313586005734
2023-09-27,store_3,-0.7522280035177035,-0.8781497621427392,-0.9525299271546275
2023-09-28,store_3,-0.5330308681333819,-0.9107961440084892,-0.6706138545705126
2023-09-29,store_3,-0.7195816216519534,-0.5750047876750605,-0.39971779876326285
2023-09-30,store_3,-0.1436061701633638,-0.3791264964805604,-0.16558719164227978
2023-10-01,store_3,-0.614646822797757,-0.4840612953347569,-0.4630065655027831
2023-10-02,store_3,-0.5540178279042212,-0.95510194796915,-0.8047887112341201
2023-10-03,store_3,-0.2158945871518103,-0.7195816216519534,-0.6851571139150203
2023-10-04,store_3,-0.8548309179529178,-0.7522280035177035,-0.6340781700370206
2023-10-05,store_3,-0.6776077021102749,-0.5330308681333819,-0.4764712539193964
2023-10-06,store_3,-0.777878732126507,-0.7195816216519534,-0.3337155391221462
2023-10-07,store_3,-0.2555366222745067,-0.1436061701633638,-0.2560939227967839
2023-10-08,store_3,-0.6706120488533284,-0.614646822797757,-0.5487295736290767
